movie_id,cast,crew
1471014,"[{'id': 1410407, 'name': 'Zahra Ahmadi', 'character': 'Narrator'}, {'id': 5397950, 'name': 'Jack Etchells', 'character': 'Theo van Gogh (voice)'}, {'id': 4593515, 'name': 'Adam Woolley', 'character': 'Vincent van Gogh'}, {'id': 5397952, 'name': 'Frances Christie', 'character': 'Self'}, {'id': 5397953, 'name': 'Neil Lebeter', 'character': 'Self'}, {'id': 5397954, 'name': 'Curtis Holder', 'character': 'Self'}, {'id': 5397958, 'name': 'Ruth Millington', 'character': 'Self'}]","[{'id': 5397948, 'name': 'Richard Shaw', 'job': 'Director'}]"
324544,"[{'id': 63, 'name': 'Милла Йовович', 'character': 'Gray Alys'}, {'id': 543530, 'name': 'Дейв Батиста', 'character': 'Boyce'}, {'id': 66147, 'name': 'Arly Jover', 'character': 'Ash'}, {'id': 3883680, 'name': 'Amara Okereke', 'character': 'Melange'}, {'id': 30087, 'name': 'Fraser James', 'character': 'Patriarch Johan'}, {'id': 1152753, 'name': 'Deirdre Mullins', 'character': 'Mara'}, {'id': 136642, 'name': 'Sebastian Stankiewicz', 'character': 'Ross'}, {'id': 2506184, 'name': 'Tue Lunding', 'character': 'The Hammer'}, {'id': 3790469, 'name': 'Jacek Dzisiewicz', 'character': 'Overlord'}, {'id': 3076, 'name': 'Иэн Ханмор', 'character': 'The Stranger'}]","[{'id': 4014, 'name': 'Пол У. С. Андерсон', 'job': 'Director'}]"
1414048,"[{'id': 221841, 'name': 'Зак Рериг', 'character': 'John Dorsey'}, {'id': 1954, 'name': 'Билли Зейн', 'character': 'Butch Hayden'}, {'id': 3006897, 'name': 'Cara Jade Myers', 'character': 'Emily Rusk'}, {'id': 78110, 'name': 'Скотт Эдкинс', 'character': 'Kyle Rusk'}, {'id': 85477, 'name': 'Trace Adkins', 'character': 'Big Buck'}, {'id': 128560, 'name': 'Travis Hammer', 'character': 'Nash'}, {'id': 1391409, 'name': 'Yelawolf', 'character': 'Wolf'}, {'id': 4021370, 'name': 'Struggle Jennings', 'character': 'Struggle'}, {'id': 5276721, 'name': 'Edward Crowe', 'character': 'Zilla'}, {'id': 1611971, 'name': 'Gus Langley', 'character': 'Mangrum'}]","[{'id': 1438035, 'name': 'Shaun Silva', 'job': 'Director'}]"
1356236,"[{'id': 1816794, 'name': 'Raymond E. Lee', 'character': ''}, {'id': 2699158, 'name': 'Pachi Lucas', 'character': ''}, {'id': 4940595, 'name': 'Julia Kraiselburd', 'character': ''}, {'id': 4255932, 'name': 'Emilia Mayo', 'character': ''}]","[{'id': 2812110, 'name': 'Gonzalo Mellid', 'job': 'Director'}]"
299537,"[{'id': 60073, 'name': 'Бри Ларсон', 'character': 'Carol Danvers / Vers / Captain Marvel'}, {'id': 2231, 'name': 'Сэмюэл Л. Джексон', 'character': 'Nick Fury'}, {'id': 77335, 'name': 'Бен Мендельсон', 'character': 'Talos / Keller'}, {'id': 9642, 'name': 'Джуд Лоу', 'character': 'Yon-Rogg'}, {'id': 516, 'name': 'Аннетт Бенинг', 'character': 'Supreme Intelligence / Dr. Wendy Lawson'}, {'id': 938, 'name': 'Джимон Хонсу', 'character': 'Korath'}, {'id': 72095, 'name': 'Ли Пейс', 'character': 'Ronan'}, {'id': 1360281, 'name': 'Лашана Линч', 'character': 'Maria Rambeau'}, {'id': 97576, 'name': 'Джемма Чан', 'character': 'Minn-Erva'}, {'id': 9048, 'name': 'Кларк Грегг', 'character': 'Agent Coulson'}]","[{'id': 53068, 'name': 'Ryan Fleck', 'job': 'Director'}, {'id': 53069, 'name': 'Anna Boden', 'job': 'Director'}]"
297762,"[{'id': 90633, 'name': 'Галь Гадот', 'character': 'Diana Prince / Wonder Woman'}, {'id': 62064, 'name': 'Крис Пайн', 'character': 'Steve Trevor'}, {'id': 935, 'name': 'Конни Нильсен', 'character': 'Hippolyta'}, {'id': 32, 'name': 'Робин Райт', 'character': 'Antiope'}, {'id': 6413, 'name': 'Дэнни Хьюстон', 'character': 'Ludendorff'}, {'id': 11207, 'name': 'Дэвид Тьюлис', 'character': 'Sir Patrick / Ares'}, {'id': 5419, 'name': 'Saïd Taghmaoui', 'character': 'Sameer'}, {'id': 1125, 'name': 'Юэн Бремнер', 'character': 'Charlie'}, {'id': 1823591, 'name': 'Eugene Brave Rock', 'character': 'The Chief'}, {'id': 11111, 'name': 'Люси Дэвис', 'character': 'Etta'}]","[{'id': 6884, 'name': 'Patty Jenkins', 'job': 'Director'}]"
497698,"[{'id': 1245, 'name': 'Скарлетт Йоханссон', 'character': 'Natasha Romanoff / Black Widow'}, {'id': 1373737, 'name': 'Флоренс Пью', 'character': 'Yelena Belova'}, {'id': 3293, 'name': 'Рэйчел Вайс', 'character': 'Melina'}, {'id': 35029, 'name': 'Дэвид Харбор', 'character': 'Alexei'}, {'id': 5538, 'name': 'Рэй Уинстон', 'character': 'Dreykov'}, {'id': 1743933, 'name': 'Евер Андерсон', 'character': 'Young Natasha'}, {'id': 2131391, 'name': 'Вайолет МакГроу', 'character': 'Young Yelena'}, {'id': 113970, 'name': 'О. Т. Фагбенли', 'character': 'Mason'}, {'id': 227, 'name': 'Уильям Хёрт', 'character': 'Secretary Ross'}, {'id': 18182, 'name': 'Ольга Куриленко', 'character': 'Antonia / Taskmaster'}]","[{'id': 93286, 'name': 'Cate Shortland', 'job': 'Director'}]"
974573,"[{'id': 84223, 'name': 'Анна Кендрик', 'character': 'Stephanie Smothers'}, {'id': 59175, 'name': 'Блейк Лайвли', 'character': 'Emily Nelson'}, {'id': 2349355, 'name': 'Микеле Морроне', 'character': 'Dante Versano'}, {'id': 1807132, 'name': 'Генри Голдинг', 'character': 'Sean Townsend'}, {'id': 19, 'name': 'Allison Janney', 'character': 'Aunt Linda McLanden'}, {'id': 20, 'name': 'Элизабет Перкинс', 'character': 'Margaret McLanden'}, {'id': 124620, 'name': 'Елена София Риччи', 'character': 'Portia Versano'}, {'id': 1224113, 'name': 'Alex Newell', 'character': 'Vicky'}, {'id': 990369, 'name': 'Эндрю Рэннеллс', 'character': 'Darren'}, {'id': 2050577, 'name': 'Taylor Ortega', 'character': 'Agent Irene Walker'}]","[{'id': 116805, 'name': 'Пол Фиг', 'job': 'Director'}]"
1233413,"[{'id': 135651, 'name': 'Майкл Б. Джордан', 'character': 'Smoke / Stack'}, {'id': 4688032, 'name': 'Miles Caton', 'character': 'Sammie Moore'}, {'id': 130640, 'name': 'Хейли Стайнфелд', 'character': 'Mary'}, {'id': 134774, 'name': 'Вунми Мосаку', 'character': 'Annie'}, {'id': 85065, 'name': ""Джек О'Коннелл"", 'character': 'Remmick'}, {'id': 18792, 'name': 'Делрой Линдо', 'character': 'Delta Slim'}, {'id': 334, 'name': 'Омар Бенсон Миллер', 'character': 'Cornbread'}, {'id': 2455272, 'name': 'Джейми Лоусон', 'character': 'Pearline'}, {'id': 1321015, 'name': 'Ли Цзюнь Ли', 'character': 'Grace Chow'}, {'id': 3495960, 'name': 'Yao', 'character': 'Bo Chow'}]","[{'id': 1056121, 'name': 'Райан Куглер', 'job': 'Director'}]"
335984,"[{'id': 30614, 'name': 'Райан Гослинг', 'character': ""'K'""}, {'id': 3, 'name': 'Харрисон Форд', 'character': 'Rick Deckard'}, {'id': 224513, 'name': 'Ана де Армас', 'character': 'Joi'}, {'id': 543530, 'name': 'Дейв Батиста', 'character': 'Sapper Morton'}, {'id': 32, 'name': 'Робин Райт', 'character': 'Lieutenant Joshi'}, {'id': 104632, 'name': 'Sylvia Hoeks', 'character': 'Luv'}, {'id': 1110405, 'name': 'Маккензи Дэвис', 'character': 'Mariette'}, {'id': 7499, 'name': 'Джаред Лето', 'character': 'Niander Wallace'}, {'id': 1013973, 'name': 'Carla Juri', 'character': 'Dr. Ana Stelline'}, {'id': 765, 'name': 'Hiam Abbass', 'character': 'Freysa'}]","[{'id': 137427, 'name': 'Дени Вильнёв', 'job': 'Director'}]"
1249213,"[{'id': 1028899, 'name': 'Мэган Фэйхи', 'character': 'Violet'}, {'id': 1855143, 'name': 'Брэндон Скленар', 'character': 'Henry'}, {'id': 1515230, 'name': 'Violett Beane', 'character': 'Jen'}, {'id': 4660921, 'name': 'Jacob Robinson', 'character': 'Toby'}, {'id': 31508, 'name': 'Reed Diamond', 'character': 'Richard'}, {'id': 1346549, 'name': 'Gabrielle Ryan', 'character': 'Cara'}, {'id': 1487628, 'name': 'Jeffery Self', 'character': 'Matt'}, {'id': 1256415, 'name': 'Ed Weeks', 'character': 'Phil'}, {'id': 236702, 'name': 'Travis Nelson', 'character': 'Connor'}, {'id': 2477617, 'name': 'Fiona Browne', 'character': 'Diane'}]","[{'id': 54248, 'name': 'Кристофер Лэндон', 'job': 'Director'}]"
